IDCode,narrative_text
dexe201,Accuracy medium (80.70%); speed moderate (16.82s); timing moderately variable (var=211.15); correct streak short (9); incorrect streak short (2); consecutive correct frequent (0.66).
dosu709,Accuracy medium (71.93%); speed slow (23.54s); timing highly variable (var=462.06); correct streak long (18); incorrect streak long (10); consecutive correct frequent (0.68).
doxe392,Accuracy low (57.89%); speed slow (29.10s); timing highly variable (var=2198.61); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.45).
culu497,Accuracy medium (70.18%); speed slow (21.12s); timing highly variable (var=408.46); correct streak moderate (16); incorrect streak long (5); consecutive correct occasional (0.57).
lije367,Accuracy high (91.23%); speed slow (22.93s); timing highly variable (var=924.50); correct streak long (34); incorrect streak short (2); consecutive correct frequent (0.84).
vice024,Accuracy medium (82.46%); speed fast (9.80s); timing stable (var=53.15); correct streak short (11); incorrect streak short (2); consecutive correct frequent (0.70).
kapy740,Accuracy medium (82.46%); speed slow (19.61s); timing moderately variable (var=285.94); correct streak long (33); incorrect streak moderate (4); consecutive correct frequent (0.71).
vudi262,Accuracy medium (63.16%); speed fast (14.38s); timing moderately variable (var=204.82); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.50).
tuza510,Accuracy medium (64.91%); speed moderate (18.38s); timing moderately variable (var=254.96); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.45).
tubo945,Accuracy medium (84.21%); speed fast (11.69s); timing moderately variable (var=158.88); correct streak long (28); incorrect streak short (2); consecutive correct frequent (0.70).
bofi323,Accuracy medium (66.67%); speed slow (21.64s); timing moderately variable (var=242.04); correct streak long (23); incorrect streak long (6); consecutive correct occasional (0.54).
zeji633,Accuracy low (29.82%); speed slow (20.18s); timing highly variable (var=807.07); correct streak short (5); incorrect streak long (20); consecutive correct rare (0.16).
bowo488,Accuracy low (57.89%); speed slow (20.94s); timing highly variable (var=486.62); correct streak moderate (12); incorrect streak long (10); consecutive correct rare (0.46).
pipo687,Accuracy low (35.09%); speed slow (23.50s); timing highly variable (var=861.98); correct streak short (9); incorrect streak long (22); consecutive correct rare (0.23).
core934,Accuracy medium (70.18%); speed slow (22.56s); timing highly variable (var=622.21); correct streak moderate (13); incorrect streak moderate (4); consecutive correct occasional (0.55).
dedu084,Accuracy low (56.14%); speed slow (20.35s); timing moderately variable (var=257.37); correct streak moderate (14); incorrect streak long (22); consecutive correct rare (0.50).
lowa532,Accuracy low (22.81%); speed slow (22.30s); timing moderately variable (var=329.37); correct streak short (5); incorrect streak long (33); consecutive correct rare (0.11).
