K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
50,spherical,-21722.81397034081,-23861.527019500732,-10375.040533014246,0.09510853886604309,27.75153955444447,1.3327568918429853
51,full,-13925.387446544564,-23757.4670753479,inf,0.07929326593875885,25.370244476873648,1.5791899275953185
51,diag,-20064.978951394336,-23776.653301239014,inf,0.044439174234867096,21.575436493289487,1.668564490735534
51,tied,-21671.525836423705,-23788.808895111084,-12144.523180825407,0.10288731753826141,26.854198985480078,1.3898337410206278
51,spherical,-21672.96396482907,-23854.536994934082,-4625.64810604497,0.08431760221719742,27.11031913706616,1.3503884333397276
52,full,-13709.544204654947,-23734.49374771118,inf,0.07545679807662964,24.794975731846822,1.6760957507680063
52,diag,-19934.293016807707,-23718.829334259033,inf,0.06126875430345535,23.364365920706277,1.61934803666295
52,tied,-21563.172110378546,-23719.029151916504,-8354.665515552988,0.09877631068229675,27.144986224713225,1.4208892893941798
52,spherical,-21689.839503293162,-23914.27251434326,7836.315720950177,0.08687426894903183,27.61059949787956,1.2954371383206231
53,full,-13449.922631008738,-23667.74208831787,inf,0.09728852659463882,26.064800382111155,1.5386322130918224
53,diag,-19907.414436194464,-23764.81272125244,inf,0.052827414125204086,22.72836892288338,1.548100700542874
53,tied,-21535.965315027966,-23730.396339416504,-1842.3963394168422,0.09742793440818787,25.68506729133474,1.4331559620149454
53,spherical,-21561.47283136907,-23828.765823364258,56276.94846235003,0.10321342200040817,27.543317911842237,1.40325426218657
54,full,-13249.955205464334,-23660.644577026367,inf,0.09601186960935593,25.83043692342335,1.554799058686841
54,diag,-19818.99299745744,-23749.25325012207,inf,0.06084802374243736,23.232273500472328,1.5995864061592397
54,tied,-21474.778127221332,-23707.78313446045,12553.816865538392,0.09727240353822708,25.959090728689368,1.4020581158398724
54,spherical,-21584.12921547525,-23894.282188415527,inf,0.09048682451248169,26.83579930329251,1.3274366312895314
55,full,-13109.15848380787,-23712.717769622803,inf,0.0855235680937767,24.489863904179984,1.5968955013312562
55,diag,-19737.208674198933,-23740.330894470215,inf,0.05960342288017273,22.854839916315864,1.5403006301103628
55,tied,-21474.699517142966,-23746.278507232666,70063.72149277278,0.09651301801204681,25.896136846460358,1.422108742391263
