K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
10,tied,-22086.538846737418,-22622.288608551025,-22545.6462727846,0.10271710902452469,43.28343557598441,1.8497365165545574
10,spherical,-21982.658825820137,-22406.972637176514,-22361.66371269139,0.10593488067388535,62.559512882811276,1.7355814886088972
11,full,-20717.61051125891,-22834.89356994629,-11190.607855660612,0.09097457677125931,43.38508372245766,1.9141712991287567
11,diag,-21733.808058492396,-22531.003704071045,-22332.249418356758,0.059077437967061996,43.855113568987925,1.880509219995712
11,tied,-22051.324494471555,-22625.648239135742,-22535.648239135742,0.09048295766115189,44.8010760475223,1.8952839433515651
11,spherical,-21957.769700587938,-22424.943492889404,-22368.784242303926,0.08537162095308304,58.41434690337334,1.7196080609328115
12,full,-20580.333099600004,-22890.486072540283,inf,0.07069581001996994,40.6612630842446,2.301015111557904
12,diag,-21682.734733769044,-22552.792346954346,-22304.071626233625,0.08624696731567383,46.25172524310144,1.8042465290536576
12,tied,-22036.52336928699,-22649.421096801758,-22544.627203671986,0.09282425791025162,41.3451137237313,1.7674880648638656
12,spherical,-21943.94448297903,-22453.978256225586,-22385.48904759249,0.1055949255824089,56.398312332742165,1.7278864415612476
13,full,-20434.01569084027,-22937.038578033447,inf,0.047207292169332504,37.4796845384143,2.0753911906952487
13,diag,-21623.28512349272,-22566.204704284668,-22258.483185297326,0.06267677247524261,44.29330075056566,1.8125955550292974
13,tied,-22004.67059310145,-22656.142303466797,-22535.017303466797,0.08745643496513367,39.085080661198056,1.8150271393952033
13,spherical,-21920.95840721583,-22473.85216140747,-22391.44429899961,0.10968545824289322,54.30796673378811,1.6985953947658414
14,full,-20201.92585547531,-22897.818656921387,inf,0.05243923142552376,38.40262770242516,2.271311270012093
14,diag,-21568.241820436848,-22584.02336883545,-22206.725709972572,0.09381651878356934,47.536914819268745,1.7107190116941502
14,tied,-21960.53505629579,-22650.58074951172,-22511.47674951172,0.10437126457691193,41.841164957792124,1.7309425264624938
14,spherical,-21899.668483186022,-22495.422218322754,-22397.386953839126,0.1143035739660263,53.12181424902301,1.6141841273658535
15,full,-20025.557062743406,-22914.319778442383,inf,0.03200850263237953,35.23979498039699,2.2227766369046917
15,diag,-21502.169434129024,-22590.812950134277,-22131.451248006615,0.0882456824183464,43.85718297615594,1.7250254713919255
15,tied,-21939.318052815328,-22667.937728881836,-22509.08526986544,0.09436697512865067,39.261006652731815,1.7704337375952877
15,spherical,-21861.55429081515,-22500.168006896973,-22384.66413092798,0.10090886056423187,50.991290053813486,1.6926777432253983
16,full,-19768.289206901154,-22849.921836853027,inf,0.05573425069451332,36.85490355163886,2.1942699912974293
16,diag,-21472.03784753434,-22633.54333114624,-22077.226350014167,0.0975821316242218,44.707078477389295,1.8878268089356325
16,tied,-21914.919740588528,-22682.113399505615,-22501.609197824942,0.09290589392185211,38.83728117108454,1.7911895014192993
16,spherical,-21863.432816187204,-22544.90651321411,-22409.946301012522,0.09333474189043045,45.79340695759554,1.742130325952212
17,full,-19633.533489425598,-22908.03603363037,inf,0.05116787180304527,35.481263760710924,2.1136820551846034
17,diag,-21382.538901778273,-22616.906352996826,-21945.680546545213,0.06008604168891907,40.78814622350394,1.8365173912796955
17,tied,-21869.52233244498,-22675.289974212646,-22471.083077660922,0.07414112240076065,38.916211827567686,1.8598309691648973
17,spherical,-21815.11508301433,-22539.448760986328,-22382.88200349314,0.0867563933134079,46.069417183643374,1.7256749545793266
18,full,-19453.54910755185,-22920.92156600952,inf,0.0732596144080162,39.1771484971654,1.8700265396561777
18,diag,-21300.144127775136,-22607.37354660034,-21799.32159854839,0.0723448395729065,37.74629343097683,1.656099629414404
18,tied,-21854.159920334147,-22698.501544952393,-22468.377651147082,0.090079165995121,37.98574523083983,1.8375561546229209
18,spherical,-21776.257287890774,-22543.45094680786,-22362.94674512719,0.09493351727724075,45.94780491664268,1.6607232729287988
19,full,-19274.105527680054,-22934.347900390625,inf,0.056346263736486435,34.868009340767316,2.042114033753495
19,diag,-21249.736563092072,-22629.827949523926,-21657.809257935143,0.07598061114549637,40.94514411210284,1.7241678289408269
19,tied,-21837.322593672532,-22720.238201141357,-22461.801837504994,0.08867790549993515,34.94450279056619,1.7261456853974906
19,spherical,-21768.50585034168,-22578.559490203857,-22371.58542680328,0.09812448173761368,42.78814512252396,1.5826287547271922
20,full,-19080.807993493072,-22933.920280456543,inf,0.059851206839084625,33.51769894522298,1.9420864677296747
20,diag,-21167.765827022286,-22620.71918106079,-21450.56689679683,0.07487663626670837,39.320202155771426,1.88912971838213
20,tied,-21814.903125134697,-22736.3927154541,-22447.04692106158,0.0866403728723526,34.19625921130382,1.6753636613429852
20,spherical,-21740.769320629504,-22593.682941436768,-22357.481161021336,0.10590127855539322,45.58289422577332,1.5580502629741548
21,full,-18880.144080521914,-22926.12628173828,inf,0.05446453019976616,33.02053911738352,1.9979893241388151
21,diag,-21120.54366807042,-22646.358989715576,-21234.225656382238,0.09872519224882126,40.44671399124012,1.7080491491549645
21,tied,-21775.645048808772,-22735.70862197876,-22412.631698901834,0.08302969485521317,33.570996362630346,1.6810338993740186
21,spherical,-21692.582690972256,-22588.35629272461,-22319.91592575213,0.11891574412584305,44.87790596624792,1.5479464591430232
22,full,-18680.342582864472,-22919.19469833374,inf,0.058678220957517624,33.084651332595065,1.9208821718396278
22,diag,-21046.185129876612,-22644.862419128418,-20933.18143753333,0.05932661145925522,37.03909447045299,1.7940116722339723
22,tied,-21733.195421274355,-22731.832977294922,-22371.95178917611,0.09103842079639435,37.02379355479723,1.6229334921705296
22,spherical,-21680.748608006903,-22619.382190704346,-22315.407427297403,0.10180031508207321,42.6854343489065,1.5656436190816252
23,full,-18476.804635011722,-22908.526664733887,inf,0.06532754749059677,34.7842728123946,1.8509606568447852
23,diag,-20974.268394661318,-22645.807651519775,-20556.903541930733,0.08206722885370255,37.19377626898518,1.7778597457211947
23,tied,-21685.925691048287,-22723.137229919434,-22323.096413592903,0.1022687777876854,36.09735944268027,1.5597662795443872
23,spherical,-21638.053986558887,-22619.547550201416,-22276.4205143708,0.1031254306435585,41.38763385497461,1.5640310336845455
24,full,-18312.86199737015,-22937.453941345215,inf,0.05494855344295502,31.30950879425593,1.961941489840181
24,diag,-20939.013528495096,-22683.414752960205,-20108.903125053217,0.06754408031702042,35.39971151448737,1.6924882741335623
24,tied,-21666.48677899849,-22742.272300720215,-22298.398616509687,0.07750842720270157,33.60952978131155,1.759091096662047
24,spherical,-21604.296937590116,-22628.650482177734,-22242.38785591511,0.09770705550909042,41.16117828035425,1.5921513031003076
25,full,-18129.6082215755,-22947.070079803467,inf,0.06031005084514618,31.7036755356767,1.837645762888879
25,diag,-20815.93364630715,-22633.196838378906,-19415.339695521772,0.059891004115343094,33.853640417090496,1.7950811559928905
25,tied,-21635.439060338584,-22749.79856491089,-22258.059434476105,0.09893136471509933,33.65710971692738,1.6391335649924392
25,spherical,-21602.090769053473,-22669.30429458618,-22235.506385178516,0.10132027417421341,39.4625792429589,1.5961938074098534
26,full,-17944.43500837241,-22954.76678085327,inf,0.06549045443534851,32.600154760387355,1.8508660398462666
26,diag,-20774.705376210262,-22664.830535888672,-18561.209483257095,0.082970529794693,35.387391437795344,1.6553245416614826
26,tied,-21583.98016308981,-22736.913650512695,-22192.868706692472,0.09854649007320404,35.45613487826618,1.6589121811338208
26,spherical,-21531.233473655262,-22641.306980133057,-22155.09759385147,0.11233602464199066,39.77688107161656,1.5166760790837364
27,full,-17734.200538760622,-22937.402225494385,inf,0.07225336134433746,32.736316658133106,1.8141539767490757
27,diag,-20701.934419650974,-22664.921546936035,-17274.61385462832,0.06561359763145447,30.353320375429817,1.7140859275973368
27,tied,-21552.77471051267,-22744.282180786133,-22143.026366832644,0.06784804910421371,30.02839681412975,1.671615104845928
27,spherical,-21526.76986645895,-22679.703353881836,-22135.658410061613,0.10223755240440369,38.86594082100849,1.4780190907092485
28,full,-17657.48270885831,-23053.55430984497,inf,0.057509858161211014,30.183796504961524,1.9107579434882063
28,diag,-20596.381438708144,-22632.230533599854,-15219.115779501535,0.09153413772583008,34.89707228251936,1.610414909438827
28,tied,-21551.579672059062,-22781.661125183105,-22117.757510725278,0.09287106990814209,32.66169061987414,1.4849381061096025
28,spherical,-21483.882686722358,-22679.676155090332,-22071.73841189967,0.09709447622299194,35.01381212617889,1.496447351701396
29,full,-17383.195977893985,-22972.137493133545,inf,0.055891986936330795,30.283777425169,1.8821606581182584
29,diag,-20585.64497845623,-22694.35604095459,-11669.083313681862,0.054222166538238525,29.721082575470906,1.7840992387827994
29,tied,-21495.39080578563,-22764.046241760254,-22031.446241760255,0.1087820827960968,32.21936818057082,1.4953854773249193
29,spherical,-21428.8131224948,-22667.46657180786,-21988.843090026487,0.09839664399623871,37.60151122373573,1.5456315950197872
30,full,-17289.998026379122,-23071.809455871582,inf,0.0571749322116375,30.007834185866344,1.8204654363006108
