IDCode,n_items,accuracy,avg_rt,var_rt,rt_cv,longest_correct_streak,longest_incorrect_streak,consecutive_correct_rate
ropi792,57.0,0.8771929824561403,8.572964912280701,75.10270195112783,1.0108733207140226,21.0,1.0,0.7678571428571429
jemy300,57.0,0.8771929824561403,13.140052631578946,148.88471735372806,0.9285984526025363,17.0,2.0,0.7857142857142857
qexo432,57.0,0.7719298245614035,16.014526315789475,149.2235520445332,0.7627892946237185,14.0,3.0,0.6428571428571429
kyso927,57.0,0.8070175438596491,10.859543859649122,162.9245809795896,1.1753892724447081,10.0,2.0,0.6785714285714286
cozi663,57.0,0.42105263157894735,8.75842105263158,69.66680465288222,0.9529873287467288,4.0,5.0,0.125
vani542,57.0,0.7192982456140351,14.150877192982456,224.54288272333966,1.058927641452893,13.0,3.0,0.5535714285714286
kaxu871,57.0,0.7894736842105263,18.69917543859649,562.706808958255,1.2685822454657032,16.0,4.0,0.6607142857142857
moku835,57.0,0.8596491228070176,10.211491228070177,82.1060272329574,0.8873569412245635,17.0,3.0,0.7678571428571429
cahe192,57.0,0.8421052631578947,12.186614035087718,126.3297529888471,0.9222948142844216,42.0,3.0,0.7857142857142857
feso129,57.0,0.8947368421052632,12.705070175438598,115.2257626690946,0.8448852485007565,26.0,4.0,0.8571428571428571
tufa140,57.0,0.9298245614035088,11.777280701754387,85.73225579539475,0.7861892466216948,19.0,1.0,0.875
zigi489,57.0,0.5789473684210527,11.886171052631576,72.11824521091793,0.7144644094482095,7.0,4.0,0.375
dahi696,57.0,0.8245614035087719,9.65442105263158,83.23985677550124,0.9450165767060422,31.0,2.0,0.7142857142857143
quhe482,57.0,0.5087719298245614,10.60392105263158,77.53133927282269,0.830370969220408,9.0,5.0,0.2857142857142857
taxa827,57.0,0.7719298245614035,9.411473684210526,85.05159057965226,0.9799041291871095,14.0,2.0,0.625
vuga321,57.0,0.7719298245614035,16.668894736842105,98.88315505181704,0.5965603067836777,10.0,3.0,0.625
nycu731,57.0,0.8421052631578947,12.055350877192982,69.57005591784149,0.6918808669845838,24.0,2.0,0.7678571428571429
raxy329,57.0,0.7543859649122807,13.690315789473683,216.12539262557962,1.0738396401941899,20.0,3.0,0.625
nyfe489,57.0,0.8596491228070176,19.318859649122807,453.3808356263784,1.10217382238233,26.0,1.0,0.7321428571428571
texu966,57.0,0.6140350877192983,14.617853801169591,103.71657702834341,0.6966914384934794,12.0,5.0,0.4642857142857143
kifo712,57.0,0.631578947368421,10.5920350877193,106.34859253505638,0.9736132207016416,11.0,5.0,0.5
pajo050,57.0,0.6491228070175439,13.66940350877193,162.37723487966014,0.9322083894752594,13.0,13.0,0.5357142857142857
hefy659,57.0,0.6491228070175439,10.993412280701754,93.2499754153822,0.8783990301102599,10.0,5.0,0.48214285714285715
tujy672,57.0,0.7719298245614035,13.168666666666667,78.05696337886907,0.6709096234018561,25.0,6.0,0.6964285714285714
cyfe247,57.0,0.45614035087719296,14.010894736842108,147.58852140032897,0.8670824991141065,7.0,5.0,0.23214285714285715
xori482,57.0,0.7192982456140351,9.782973684210527,117.52997746075347,1.10816247832776,14.0,6.0,0.625
raje697,57.0,0.8245614035087719,24.977824561403512,319.13094469545746,0.7152038572128712,19.0,4.0,0.7321428571428571
biwu043,57.0,0.631578947368421,15.05078947368421,131.0261132295896,0.7605357756921274,23.0,7.0,0.5178571428571429
cylu852,57.0,0.7894736842105263,21.42973684210526,493.3103184051065,1.0364378431033285,16.0,2.0,0.6428571428571429
